sex,female,classyear,year,conc,hair,vegetarian,glasses,athlete,coffee,exercise,height,heartrate
female,1,sophomore,2,arts_humanities,black,0,1,0,0,2,65,74
female,1,senior,4,social_sciences,brown,0,1,0,1,4,65,78
female,1,junior,3,arts_humanities,brown,0,1,0,1,4.5,68,74
female,1,sophomore,2,social_sciences,black,0,1,0,1,6,69,66
female,1,junior,3,natural_sciences,brown,0,1,0,0,4,64,66
male,0,sophomore,2,social_sciences,brown,0,1,0,0,5,69,58
female,1,senior,4,arts_humanities,brown,0,1,0,1,6,62,63
male,0,senior,4,arts_humanities,brown,0,0,0,0,2,71,68
female,1,sophomore,2,arts_humanities,brown,1,0,1,0,24,66,72
male,0,sophomore,2,social_sciences,black,0,0,1,0,16,74.5,84
female,1,freshman,1,economics,blonde,0,1,0,0,8,63,50
male,0,senior,4,natural_sciences,brown,0,0,0,0,3,70,58
female,1,junior,3,social_sciences,brown,1,0,0,0,9,65.5,72
male,0,sophomore,2,social_sciences,brown,0,0,1,1,25,75,45
female,1,freshman,1,natural_sciences,brown,0,1,0,0,3,63,64
male,0,senior,4,social_sciences,black,0,1,0,0,3,68,66
male,0,freshman,1,economics,black,0,1,0,0,2,74,64
female,1,senior,4,natural_sciences,black,0,1,0,0,3.5,68,64
female,1,freshman,1,arts_humanities,brown,0,1,0,0,10,64,58
female,1,freshman,1,economics,brown,0,0,0,1,2,67,76
female,1,junior,3,natural_sciences,black,0,1,0,0,1,65,65
female,1,sophomore,2,social_sciences,brown,1,1,0,0,7,66,62
female,1,senior,4,social_sciences,black,0,0,0,0,3,66,78
male,0,sophomore,2,social_sciences,brown,0,0,0,0,1,73,72
male,0,junior,3,economics,brown,0,0,0,0,3,77,70
female,1,junior,3,arts_humanities,brown,0,1,0,1,2,66,64
male,0,senior,4,arts_humanities,black,0,0,0,0,0.5,68,72
female,1,freshman,1,economics,brown,0,1,0,1,1,65,68
female,1,sophomore,2,natural_sciences,brown,0,0,0,1,1,64,60
male,0,freshman,1,economics,brown,0,0,0,1,5,70,65
female,1,junior,3,social_sciences,brown,1,0,0,0,9,65.5,72
male,0,freshman,1,economics,brown,0,1,0,0,2,70,48
female,1,senior,4,social_sciences,brown,0,1,0,0,0.5,64,114
female,1,freshman,1,economics,blonde,0,1,0,1,4,64,70
female,1,senior,4,arts_humanities,brown,0,1,0,1,6,62,63
male,0,freshman,1,arts_humanities,brown,0,0,0,1,14,71,62
female,1,junior,3,natural_sciences,black,0,1,0,1,3,60,74
male,0,freshman,1,natural_sciences,blonde,0,0,0,0,5,68.9,68
female,1,sophomore,2,social_sciences,brown,1,1,0,0,3.5,70,68
female,1,freshman,1,social_sciences,blonde,0,1,1,0,18,70,57
male,0,freshman,1,economics,brown,0,0,0,0,2,71,72
female,1,sophomore,2,arts_humanities,brown,0,0,0,1,2,67,64
female,1,sophomore,2,natural_sciences,black,0,1,0,0,0,62,78
female,1,freshman,1,natural_sciences,black,0,1,0,0,1,64,72
female,1,freshman,1,economics,brown,0,0,0,0,2,68.5,60
female,1,sophomore,2,social_sciences,brown,1,0,1,1,20,68,60
female,1,sophomore,2,economics,brown,0,1,0,1,5,64.5,54
male,0,sophomore,2,arts_humanities,black,0,1,0,0,0,72,86
male,0,sophomore,2,economics,brown,0,1,1,0,21,74,52
female,1,freshman,1,economics,black,0,1,0,0,2,66,68
female,1,junior,3,arts_humanities,brown,0,1,0,1,4.5,68,74
male,0,freshman,1,economics,brown,0,0,0,0,2,71,72
male,0,sophomore,2,natural_sciences,brown,0,0,1,0,11,68,60
female,1,freshman,1,natural_sciences,brown,0,1,0,0,2,65,78
female,1,sophomore,2,social_sciences,brown,0,1,0,0,1,67,70
female,1,freshman,1,natural_sciences,brown,0,1,0,0,4,64,64
female,1,sophomore,2,social_sciences,brown,0,1,0,0,1,67,70
male,0,sophomore,2,economics,brown,0,0,1,0,24,72,54
female,1,senior,4,arts_humanities,brown,0,1,0,1,6,62,63
male,0,freshman,1,economics,black,0,1,1,1,15,70,58
female,1,sophomore,2,social_sciences,black,0,0,0,0,0,63,78
male,0,freshman,1,arts_humanities,brown,0,1,0,0,0,69,60
male,0,sophomore,2,economics,black,0,0,0,0,1,74,74
female,1,sophomore,2,social_sciences,brown,1,0,1,1,15,70,68
female,1,sophomore,2,social_sciences,brown,0,1,0,0,1.5,67,88
male,0,sophomore,2,social_sciences,brown,0,1,0,0,5,69,58
female,1,junior,3,natural_sciences,black,0,1,0,1,2.5,64,72
female,1,sophomore,2,economics,brown,0,0,0,1,1,66,57
male,0,freshman,1,economics,brown,0,0,0,0,0,68,80
male,0,senior,4,natural_sciences,black,0,1,0,0,2,69,72
female,1,sophomore,2,arts_humanities,brown,0,1,0,1,0,62,68
female,1,senior,4,natural_sciences,brown,0,0,0,1,0,61,80
female,1,sophomore,2,social_sciences,black,0,1,0,1,1,65,76
female,1,junior,3,natural_sciences,brown,0,1,0,1,9,64.5,60
female,1,freshman,1,social_sciences,brown,0,1,0,1,0,71,76
female,1,senior,4,natural_sciences,blonde,0,0,1,0,15,68,64
female,1,junior,3,natural_sciences,brown,0,1,0,0,5,63,75
male,0,junior,3,social_sciences,blonde,0,0,0,0,3,75,66
female,1,junior,3,social_sciences,brown,0,1,0,0,0,66,64
male,0,freshman,1,economics,brown,0,0,1,0,20,70,56
male,0,sophomore,2,natural_sciences,black,1,1,0,0,2,76,70
female,1,junior,3,social_sciences,brown,0,1,0,0,0,66,64
female,1,senior,4,social_sciences,black,0,0,0,0,3,66,78
female,1,freshman,1,arts_humanities,brown,0,1,1,0,10,65,48
male,0,freshman,1,economics,brown,0,0,1,0,15,72,56
female,1,junior,3,natural_sciences,black,0,1,0,1,3,60,74
female,1,sophomore,2,economics,brown,1,1,0,0,3,66,68
male,0,freshman,1,economics,black,0,1,0,0,21,67.5,62
male,0,sophomore,2,economics,black,0,1,0,0,5,72,75
female,1,sophomore,2,economics,brown,0,0,1,0,20,70,52
male,0,junior,3,economics,blonde,0,0,0,0,9,68,74
female,1,freshman,1,social_sciences,brown,1,1,0,0,1,60,68
female,1,freshman,1,social_sciences,brown,0,1,0,1,0,71,76
female,1,freshman,1,economics,brown,0,0,0,0,2,59,64
female,1,freshman,1,natural_sciences,brown,0,0,0,0,5,64,80
female,1,freshman,1,economics,black,0,1,0,0,5,67,80
male,0,freshman,1,social_sciences,black,0,0,0,0,2,66,72
female,1,sophomore,2,social_sciences,black,0,1,0,1,1,64,66
male,0,senior,4,natural_sciences,black,0,1,0,0,7,72,54
female,1,junior,3,natural_sciences,brown,0,1,0,1,9,64.5,60
female,1,sophomore,2,arts_humanities,other,1,1,0,0,4,65,75
male,0,freshman,1,economics,black,0,1,0,1,0,68,64
